Date/Time,Cooling:Electricity [J](Monthly),Heating:NaturalGas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:NaturalGas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](TimeStep),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
 06/01  00:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  00:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  00:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  01:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  01:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  01:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  01:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  02:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  02:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  02:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  02:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  03:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  03:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  03:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  03:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  04:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  04:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  04:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  04:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  05:00:00,,,,,,,,,,,,,,,427500.0 
