step,zone,baseline_temp_c,agent_temp_c,baseline_occ,agent_occ
26,SPACE1-1,20.727,20.5,0,0
26,SPACE2-1,21.142,20.8,0,0
26,SPACE3-1,21.108,20.8,0,0
26,SPACE4-1,21.068,20.8,0,0
26,SPACE5-1,21.141,20.8,0,0
27,SPACE1-1,20.793,20.5,0,0
27,SPACE2-1,21.5,20.9,0,0
27,SPACE3-1,21.421,20.9,0,0
27,SPACE4-1,21.189,20.8,0,0
27,SPACE5-1,21.139,20.8,0,0
28,SPACE1-1,20.908,20.6,0,0
28,SPACE2-1,22.117,21.3,0,0
28,SPACE3-1,21.93,21.2,0,0
28,SPACE4-1,21.375,21.0,0,0
28,SPACE5-1,21.147,20.8,0,0
29,SPACE1-1,21.098,20.7,0,0
29,SPACE2-1,22.422,21.9,0,0
29,SPACE3-1,22.262,21.7,0,0
29,SPACE4-1,21.146,21.1,0,0
29,SPACE5-1,21.101,20.8,0,0
30,SPACE1-1,21.1,20.6,0,0
30,SPACE2-1,22.923,22.2,0,0
30,SPACE3-1,22.644,22.0,0,0
30,SPACE4-1,21.101,20.9,0,0
30,SPACE5-1,21.101,20.6,0,0
31,SPACE1-1,21.1,20.6,0,0
31,SPACE2-1,23.744,22.7,0,0
31,SPACE3-1,23.132,22.4,0,0
31,SPACE4-1,21.099,20.7,0,0
31,SPACE5-1,21.1,20.4,0,0
32,SPACE1-1,21.178,20.7,0,0
32,SPACE2-1,23.887,23.6,0,0
32,SPACE3-1,23.631,22.9,0,0
32,SPACE4-1,21.122,20.8,0,0
32,SPACE5-1,21.1,20.3,0,0
33,SPACE1-1,22.004,20.9,11,0
33,SPACE2-1,23.898,24.8,5,0
33,SPACE3-1,23.891,23.4,11,0
33,SPACE4-1,22.085,20.9,5,0
33,SPACE5-1,21.818,20.3,20,0
34,SPACE1-1,22.763,21.5,11,11
34,SPACE2-1,23.899,26.6,5,5
34,SPACE3-1,23.899,24.1,11,11
34,SPACE4-1,22.87,21.6,5,5
34,SPACE5-1,22.546,20.9,20,20
35,SPACE1-1,23.28,22.0,11,11
35,SPACE2-1,23.899,26.0,5,5
35,SPACE3-1,23.899,24.6,11,11
35,SPACE4-1,23.375,22.3,5,5
35,SPACE5-1,23.012,21.5,20,20
36,SPACE1-1,23.736,22.5,11,11
36,SPACE2-1,23.899,26.0,5,5
36,SPACE3-1,23.899,24.9,11,11
36,SPACE4-1,23.812,22.8,5,5
36,SPACE5-1,23.378,21.9,20,20
37,SPACE1-1,22.266,22.9,11,11
37,SPACE2-1,23.9,26.0,5,5
37,SPACE3-1,22.963,25.0,11,11
37,SPACE4-1,22.322,23.3,5,5
37,SPACE5-1,22.78,22.3,20,20
38,SPACE1-1,21.729,21.6,11,11
38,SPACE2-1,23.9,25.0,5,5
38,SPACE3-1,22.536,23.1,11,11
38,SPACE4-1,21.813,21.9,5,5
38,SPACE5-1,22.486,21.6,20,20
39,SPACE1-1,21.619,21.1,11,11
39,SPACE2-1,23.899,25.0,5,5
39,SPACE3-1,22.354,22.3,11,11
39,SPACE4-1,21.71,21.4,5,5
39,SPACE5-1,22.399,21.4,20,20
40,SPACE1-1,21.613,21.0,11,11
40,SPACE2-1,23.899,25.0,5,5
40,SPACE3-1,22.271,21.9,11,11
40,SPACE4-1,21.687,21.3,5,5
40,SPACE5-1,22.397,21.4,20,20
41,SPACE1-1,21.627,20.9,11,11
41,SPACE2-1,23.899,25.0,5,5
41,SPACE3-1,22.229,21.8,11,11
41,SPACE4-1,21.677,21.3,5,5
41,SPACE5-1,22.422,21.4,20,20
42,SPACE1-1,21.647,20.9,11,11
42,SPACE2-1,23.899,25.0,5,5
42,SPACE3-1,22.202,21.7,11,11
42,SPACE4-1,21.675,21.3,5,5
42,SPACE5-1,22.441,21.4,20,20
43,SPACE1-1,21.679,21.0,11,11
43,SPACE2-1,23.899,25.0,5,5
43,SPACE3-1,22.192,21.6,11,11
43,SPACE4-1,21.688,21.3,5,5
43,SPACE5-1,22.454,21.4,20,20
44,SPACE1-1,21.718,21.0,11,11
44,SPACE2-1,23.899,24.8,5,5
44,SPACE3-1,22.196,21.5,11,11
44,SPACE4-1,21.714,21.3,5,5
44,SPACE5-1,22.467,21.3,20,20
45,SPACE1-1,21.804,21.0,8,11
45,SPACE2-1,23.899,24.5,4,5
45,SPACE3-1,22.153,21.5,8,11
45,SPACE4-1,21.857,21.3,4,5
45,SPACE5-1,22.378,21.3,16,20
46,SPACE1-1,21.873,21.1,8,9
46,SPACE2-1,23.899,24.3,4,4
46,SPACE3-1,22.139,21.5,8,9
46,SPACE4-1,21.958,21.4,4,4
46,SPACE5-1,22.315,21.3,16,16
47,SPACE1-1,21.91,21.1,8,9
47,SPACE2-1,23.808,24.1,4,4
47,SPACE3-1,22.128,21.4,8,9
47,SPACE4-1,21.994,21.5,4,4
47,SPACE5-1,22.294,21.2,16,16
48,SPACE1-1,21.929,21.2,8,9
48,SPACE2-1,23.575,23.7,4,4
48,SPACE3-1,22.115,21.4,8,9
48,SPACE4-1,22.011,21.5,4,4
48,SPACE5-1,22.291,21.2,16,16
49,SPACE1-1,22.163,21.2,4,9
49,SPACE2-1,23.631,23.3,2,4
49,SPACE3-1,22.339,21.4,4,9
49,SPACE4-1,22.258,21.5,2,4
49,SPACE5-1,22.059,21.2,8,16
50,SPACE1-1,22.319,21.4,4,4
50,SPACE2-1,23.585,23.3,2,2
50,SPACE3-1,22.482,21.6,4,4
50,SPACE4-1,22.418,21.8,2,2
50,SPACE5-1,21.887,21.0,8,8
51,SPACE1-1,22.388,21.5,4,4
51,SPACE2-1,23.462,23.3,2,2
51,SPACE3-1,22.537,21.7,4,4
